"	""	comments"""
"107	""107	Objects were sighted driving north on Highway 5 in California&#39s central valley after night fall&#44 not far past &quot"
"108	""108	Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow"""
"109	""109	shaped like a stealth bomber (boomerang like&#44 but more triangluar) flat-black in color&#44 made a deep humming sound either really low to"""
"110	""110	we saw pure a light that occasionaly split into 3 to 4 different lights."""
"111	""111	i watched on the portland news that the space shuttle would be visiable and went to philomath oregon to what was known to be the apple"""
"112	""112	one light became 3"""
"113	""113	Light falls from sky"""
"114	""114	bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward."""
"115	""115	Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10."""
"116	""116	The LIGHT is the TRUTH&#33"""
"117	""117	Craft that suddenly vanishes and another one that shows up and does strange things at high speeds"""
"118	""118	3 Black ovals in the sky and a floating movie camera"""
"119	""119	Sphere shape object with flashing bright white lights"""
"120	""120	Aliens check out local high school football game."""
"121	""121	Bright light above Mt. Home AFB"""
"122	""122	pulsating green white and red object in the northwest sky at 45degrees"""
"123	""123	For two consecutive nights&#44 we watched a pattern of lights before we were stunned by a discovery on the beach."""
"124	""124	Three bright lights that were huddled together than began to seperate and disappeared."""
"125	""125	two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them"""
"126	""126	UFO Contact&#44 Amazing close sighting"""
"127	""127	Triangle shaped flying&#44 hovering U.F.O. witnessed over Sheraton Hotel in Mahwah&#44 NJ. on 10/10/04."""
"128	""128	witnessed a large object and an intense red light that illumiated the object."""
"129	""129	Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada"""
"130	""130	silently&#44 it came over my head from behind"
"131	""131	((NUFORC Note:  Possible sighting of a contrail??  PD))"""
"132	""132	Floating Red Object"""
"133	""133	Solid round silver ball passing over at about 3000MSL."""
"134	""134	While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo"""
"135	""135	The sky was clear  and the objects at times appeared to rotate slowly."""
"136	""136	6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD))"""
"137	""137	4 bright circles in a half rainbow formation with a longer bright strip at the top of the formation"""
"138	""138	7 red/orange stationary objects appeared over Lake Erie on 10/10/04 for 15 minutes and then all disappeared at once."""
"139	""139	Metor or craft descending then sudden flash of light"""
"140	""140	Several UFO&#39s&#44 one bigger one flew right over the car."""
"141	""141	A light moved across the sky in a zig zag way then straightened out and went straight out into space in a matter of seconds."""
"142	""142	It was about 9:30PM my friend and I were going to go out deer shining with my step dads truck and my friends spotlight. We left his hou"""
"143	""143	round symetrical with roundish flat bottom shiny white colored low flying bigger than  a plane."""
"144	""144	half-moon shaped objects that just winked out"""
"145	""145	i sent you an e-mail 2 days ago and really want to be contacted&#44 PLEASE  contact me asap&#44 I&#39m not crazy and nether is my wife&#44 please c"""
"146	""146	Egg UFO over Hollywood Hills and LAX in LOS ANGELES&#44 CA."""
"147	""147	Dull red flash&#44 Triangular ship&#44 Vocal Noises"""
"148	""148	red/orang lights dancing in the sky."""
"149	""149	Like a grouping of balloons with a slight glow to them"""
"150	""150	a manta ray shaped object with orange and yellow lights flashing in"""
"151	""151	Strange light over East Wenatchee Washington"""
"152	""152	Last night&#44 October 10&#44 at about 11:00PM for about ten minutes I observed a peculiar point source light in the Eastern sky. It was at a"""
"153	""153	A big lighted up silver saucer."""
"154	""154	IN form of diamond with multi colored lights that acted like disco light except one.  theone light was like a brite star and would resp"""
"155	""155	black triangles were seen flying across the surface of the full moon"""
"156	""156	Intermittant streak by moon&#44 not seen on photo taken 10 seconds earlier."""
"157	""157	weird light that moved in the sky"""
"158	""158	Large...beautiful...and brighter than anything I&#39ve ever seen....How small I have felt since...."""
"159	""159	Extreme sound with trails and orange red blue hues to it.  The trails were bright bright white."""
"160	""160	Glowing V Shaped Object flying Low making no sound."""
"161	""161	they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an"""
"162	""162	Redish orange light viewed from Waycross &#44Ga. Moving Northwest and suddenly just goes out."""
"163	""163	Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night."""
"164	""164	This is a follow up to my Feb. 16th&#44 1995 report.  This past Tuesday&#44 my wife and I AGAIN heard the same loud&#44 rumbling roar that we he"""
"165	""165	Small Orange-White &quot"
"166	""166	i was abducted"""
"167	""167	Huge lighted cluster in the eastern sky.  ((NUFORC Note:  Sighting of Venus.  PD))"""
"168	""168	half mile from de saint Jhons River&#44 low flying sphere&#44   at slow speed without noise"""
"169	""169	Observed 2 white clouds of identical shape in clear blue shy with object becoming visible beneath one cloud."""
"170	""170	triangle with 3 llights blinking. 500 Lights On Object0: Yes"""
"171	""171	Star-like (but MUCH BRIGHTER AND LARGER) light west of D-town&#44 PA.  Seen against sunset.  ((NUFORC Note:  Contrail??  PD))"""
"172	""172	pulsing flash recurring at 2 second intervals 3 times along the same trajectory along 90 degrees of sky"""
"173	""173	MUFON GEORGIA FOLLOW-UP REPORT:  Joint NUFORC-MUFON of Georgia Investigation-Fiery Sphere Shaped Object"""
"174	""174	Burning ball across the sky over central/south florida. Strobing effect towards end of the final view of object."""
"175	""175	Craft seen falling and dissapears into thin air.  ((NUFORC Note:  Missile launch??  We have no explanation for the aircraft.  PD))"""
"176	""176	Shooting star without red globe burn-out or descent maintains steady Southerly trajectory.  ((NUFORC Note:  Missile launch??  PD))"""
"177	""177	A oval shaped object hovered and shot through the sky with very bright lights and then vanished. 500 Lights On Object0: Yes"""
"178	""178	Large Boomerang formation of lights over Houston&#44 Beltway 8 &amp"
"179	""179	Bright pulsating light over lake superior."""
"180	""180	UFO SPOTTED&#44 FLEMING COLORADO"""
"181	""181	Light pattern moving silently through rapid maneuvers over Grove City"""
"182	""182	large mass of tiny lights all clustered together in the shape of a large boomerang over eastern sky in north Texas."""
"183	""183	Hovering triangular shape seen with flashing lights seen in Colorado"""
"184	""184	Thise could be an ETV case&#44 but it could also be helicopters or/and airplanes"""
"185	""185	C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM"""
"186	""186	Lights at night&#44 shining into car and garage and around blinds"""
"187	""187	Huge&#44 moon size&#44 orange&#44 bright&#44 almost complete circle"""
"188	""188	Ufo sighting in Carlin&#44 NV&#44 at the pilot truck stop. 500 Lights On Object0: Yes"""
"189	""189	I saw a huge V-shaped object moving slowly and silently over the roof tops in my neighborhood."""
"190	""190	I live Colonie&#44 New York&#44 a suburb of Albany.  I live within 4 miles of the Albany International Airport. Many  takeoff&#8217"
"191	""191	I saw a brightly lightes v shaped ufo while driving through fremont&#44ca."""
"192	""192	Carousel in the sky on fire / pixalated triangle over Yuma&#44 AZ"""
"193	""193	Glowing succession of flying objects on the horizon."""
"194	""194	six strange lights in the sky over La Crescent MN"""
"195	""195	unknown rectangular shaped aircraft with bright lights seen over Rt. 60 near Pittsburgh International Airport&#44 definitely NOT a plane"""
"196	""196	Silent&#44 oval&#44 bright white craft in yard."""
"197	""197	Around 8:00 pm? I Went out side and looked up at the stars and I saw a light which I thought was a small faded star  until it started t"""
"198	""198	In the northwest sky&#44 there were about seven lights moving slowly and flashing in and out if an extremely strange fashion."""
"199	""199	12 ovel objects flying east to west orange and red at a slow speed then vanished"""
"200	""200	low flying saucer in suburban area.  ((NUFORC Note:  Student report.  PD))"""
"201	""201	Tanslucent orange/yellow UFO in Madison WI"""
"202	""202	spherical in shape&#44 orange flames coming from the bottom&#44 completely silent&#44 moved fast and also hovered."""
"203	""203	metallic egg shaped craft above crested butte&#44 CO.  Also have seen great amount of activity READ ME&#33"""
"204	""204	In&#39t see nothing in the park"""
"205	""205	Second sighting was only 150 feet away.  Observations between two sightings."""
"206	""206	It looked sort of lime green.  It appeared to have an odd texture.  It had a dimples on its surface.  It was not smooth at all.  It jus"""
"207	""207	UFO over Disneyland."""
"208	""208	Two lights seen with a lighting of something strobe like near the ground."""
"209	""209	Two large glowing amber/dark orangish colored circular disks-not a sound-"""
"210	""210	black object that seemed to impode into a sphere and vanish&#44 only to reappear in the same shape and move location"""
"211	""211	Bright red light object made random moves horizontally and floated for a while and then went up vertically."""
"212	""212	Xmas colored rotating lights.  ((NUFORC Note:  Twinkling stars??  PD))"""
"213	""213	possible UFO sighting"""
"214	""214	2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie"""
"215	""215	Strange orange lights in the night sky"""
"216	""216	&quot"
"217	""217	Object(s) visible 3 times at same place in the sky at during day in Chas&#44 SC"""
"218	""218	White or light grey colored and leaving red/orange contrails on a bright blue sky."""
"219	""219	Metalic cigar shaped object sighted during lull in a storm in Springfield&#44 VA"""
"220	""220	Saw a light in the sky fading in and out over Bridgeport&#44 CT."""
"221	""221	triangular ufo sighting in oregon 10-10-10"""
"222	""222	I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous"""
"223	""223	Bus sized fireball object over 91 about 3-400 ft up going about 150 mph at a downward 20 degree angle."""
"224	""224	It had rows of white lights with red lights pulsating in between them"""
"225	""225	crown shaped object with two orange lights over everett wa"""
"226	""226	We saw  what seem to be a space craft in the eastern sky of northern AZ&#44 on 10-10-10."""
"227	""227	Circle of light SUNY Albany."""
"228	""228	Blue Light in Garden Grove"""
"229	""229	Bright lights hovering and going in and out of orchestrated formations"""
"230	""230	Red&#44 green &amp"
"231	""231	Single reddish circle  in the sky that wasn&#39t jet nor satelitte"""
"232	""232	Craft boomerang shape.2:00am duration hours.  ((NUFORC Note:  Probable sighting of a twinkling star&#44 possibly Sirius.  PD))"""
"233	""233	Amber object in night sky during full moon&#44 or the day before full moon"""
"234	""234	Flying beer barrel shaped metallic object"""
"235	""235	Bright oval object in sky"""
"236	""236	Small shiny object seen in sky while driving on clear day&#44 looked back for a 3rd time and it was gone."""
"237	""237	Flashing light in the sky as airplanes flew by."""
"238	""238	Three orange lights flying in unison"""
"239	""239	Multi color oblect over Smyrna/Murfreesboro 10/10/11"""
"240	""240	Strange flash in the sky"""
"241	""241	Fireball Spinning Orange UFO"""
"242	""242	Orange light flies overhead and turns black as it passed silently."""
"243	""243	BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY&#44 MAKING NO SOUND&#44 THEN DISAPPEARS"""
"244	""244	Object over North Platte Nebraska"""
"245	""245	Flying triangle by Waynesville&#44 Ohio"""
"246	""246	A Bright light that is a UFO"""
"247	""247	San Francisco International Airport         afternoon      about  5minutes       super clear conditions"""
"248	""248	Single white light or craft passed over and very close to a commercial jet.  ((NUFORC Note:  Possibly the ISS?  PD))"""
"249	""249	A black unknown craft is seen in the sky over Sterling Hts. Michigan"""
"250	""250	Went to move my car to the other side of the road in the city of syracuse.  saw low flying lights moving east towards dowtown."""
"251	""251	Bright orange circles going thru the sky in the same direction. Some were closer to each other."""
"252	""252	Bright zig zagging light in the sky above norad."""
"253	""253	Orange fiery lighting objects changing locations."""
"254	""254	A cloaked disk hovered three hundred feet above two apartment buildings in the Bronx&#44 for aproximately thirty minutes."""
"255	""255	On Wednesday October 10 2012 at 8:17 pm in Mount Albert Ontario I saw a triangle shaped UFO. It had a single light on each point and it"""
"256	""256	4 fireballs in sky side by side"""
"257	""257	I was leaving my friend&#39s house to go home.  My friend and her 3 1/2 year old daughter walked me to her front door when she noticed all"""
"258	""258	POSSIBLE ALIEN/HUMANOID SEEN RUNNING INTO HILLS"""
"259	""259	18 glowing UFOs seen over Phoenix  AZ tonight&#44 10/12/12 8:45PM"""
"260	""260	Noticed light in the N.E. section of the sky about 30 deg. up that did not move. About the size of Venus.  ((NUFORC Note:  Capella?  PD"""
"261	""261	Spheres of light seen over the west campus area of austin which then broke apart and sped off in different directions."""
"262	""262	Large cigar shaped flying about 800 feet high.  Huge square engines on back."""
"263	""263	Fleet of red UFO&#39s emerging from Mt. Rainier."""
"264	""264	UFO over Suffern NY"""
"265	""265	Flying red object over Rancho Mirage&#44 ca"""
"266	""266	Bright light&#33&#33"""
"267	""267	Tracking north to south at apx 2500 ft. A very fast&#44 semi-transparent Chevron shape craft&#44 slightly larger than a commercial plane."""
"268	""268	Three bright lights over field."""
"269	""269	Hovering bright object moving slowly around St. Louis."""
"270	""270	FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b"""
"271	""271	Fast moving white light."""
"272	""272	Slow moving bright orange light."""
"273	""273	Noiseless&#44 low flying&#44 white&#44 bright constant light."""
"274	""274	2 circle lights moving erratically over Kenner&#44 La."""
"275	""275	Yellow/orange&#44 sphere/circle that flew across night sky &#44slow speeds then simply vanished &#44 had no blinking lights&#44 was not an airplane"""
"276	""276	White&#44 orb above the clouds moving very fast&#44 no flashing lights&#44 zoomed across the sky and disappeared out of sight."""
"277	""277	3 bright lights holding a vertical position over central Michigan&#44 USA."""
"278	""278	I saw a sphere shaped object flying east to west moving faster than any conventional aircraft was white to orange in color as it reache"""
"279	""279	Three glowing reddish-orange spheres changing to white lights"""
"280	""280	Black triangle aircraft with white lights on each point&#44 completely silent&#44 seen flying low SW to NE."""
"281	""281	Small triangle with 3 lights floating low over a field then slowly flying away."""
"282	""282	Very white bright light moving fast inside clouds."""
"283	""283	EGG-SHAPED OBJECT EMITS LIGHT RAY AND PEOPLE LOSE 4 HOURS"""
"284	""284	round revolving lights reflecting on the fog"""
"285	""285	Being  of light reported&#44Jesus or another messenger&#33"""
"286	""286	White light moves west to east&#44 suddenly stops&#44 then moves south at a high rate of speed."""
"287	""287	bright blue ball of light."""
"288	""288	HBCCUFO CANADIAN REPORT:  Large glowing sphere was positioned almost directly overhead."""
"289	""289	Reddish-orange sphere seen outside Kewanee&#44 IL"""
"290	""290	Six Spheres of light move into my vision over the 92 Albuquerque Balloon Fiesta&#44then vanish straight up."""
"291	""291	triangle UFO in jackson NJ  Countyline 526   over the old fire station next to the trailer park"""
"292	""292	Double white lights in chevron shape flying north to south about the size of the constellation of the Pleades&#44 covered half the sky in"""
"293	""293	Young man&#44 mother witness watch strange red obj. 45 deg. above horizon w/ binocular.  Obj. suddenly fades&#44 disappears from sight."""
"294	""294	Young man &amp"
"295	""295	1996 SIGHTING IN DAMASCUS&#44 VA. WHILE CAMPING IN THE CHEROKEE NATIONAL FOREST."""
"296	""296	playing with a jet"""
"297	""297	Boomerang shaped lit up at the neds and center of the boomerang."""
"298	""298	I went out and saw this cigar shaped object&#44 high above&#44 about where the sun would be at 12 o&#39clock. I stared at it trying to identify"""
"299	""299	Bright shiny object splits in two and disappears above horizon."""
"300	""300	Spherical.  Red&#44 yellow&#44 and green lights.  Below clouds&#44 yet very high up."""
"301	""301	My friend Steven and I were crossing over to Bar Island at low tide when we witnesses a green spherical object crossing the sky at a gr"""
"302	""302	Greenish blue fireball streaking across horizon"""
"303	""303	Bright light coming from back yard and a surreal sensation of forboding."""
"304	""304	It was a large bright light sitting stationary in the sky. Within our atmosphere. Not a star. It did not move or change shape and was t"""
"305	""305	Huge pulsating red light over I-94.  High overhead&#44 moving east"""
"306	""306	While dirving to work this monday morning the 11th of October I spotted two jets flying toward the horizion. Becouse of the rising sun"""
"307	""307	i saw bright light come out of clouds&#44 2 aircraft came from behind and appeared to shot at the light&#44 light went back into the clouds"""
"308	""308	A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared."""
"309	""309	The object was just below the tree line. The object was light up by a yellowish light with blue lights.You could see the windows in it"""
"310	""310	Was oval shaped had different colored lights all the way around the center of the object. The top was yellowish with windows with light"""
"311	""311	it was a beautiful oval shaped object that had huge windows lite with every color you can imagine.  we saw this object to the left of t"""
"312	""312	oval shaped with colorful lights all around with huge windows lite up very colorful most beautiful thing in the sky. in valley area it"""
"313	""313	About 2030 cst I noticed what apeared to be a &quot"
"314	""314	oblong&#44 extremely large and  bright object in sky&#44 going behind mountains. Object much larger than a meteorite."""
"315	""315	I was looking into the sky towards the high east watching what appeared to be a passenger jet cross the sky when my periphial vision ca"""
"316	""316	Object was at 45 degrees above southern horizon. Being stationary for 5 mins. and then executed some right angle maneuvers. Focal dista"""
"317	""317	Pinpoint of light travelled from east to west breifly then hovered for about an hour then disappeared."""
"318	""318	Bright light due south&#44 traveling east extremely slowly. Bright flash given off from object every 10 seconds&#44 with a dim flash every 3"""
"319	""319	Flashing lights sighted out of my window"""
"320	""320	Saucer shaped object&#44with rows of red lights on bottom side"
"321	""321	Diamond shaped ufo seen pulsing for short time near London England"""
"322	""322	Was looking at the near full moon with binoculars when a very bright round light appeared to the left of the moon. at arms lenght it wa"""
"323	""323	White starlike lights in sky that blink red and blue and move erratically over Sacramento region."""
"324	""324	How two became one."""
"325	""325	UFO ENCOUNTER LESS THAN 300 FEET"""
"326	""326	My brother and I went outside to have a smoke and then noticed a moving&#44 multicolored light in the sky...."""
"327	""327	It looked like a star but it would move and after a few seconds a red aura would appear around it and emit objects."""
"328	""328	Odd Lights in Colorado Sky"""
"329	""329	short vapotr looking teardropped object&#44 always beside the sun&#33&#33&#33noticed from 10/11-10/26/01"""
"330	""330	Three bright white lights in a row&#44 in the sky."""
"331	""331	We saw three teardroped shaped crafts with slowy flashing lights moving very slow then taking off very rapidly."""
"332	""332	bright green triangular object throwing sparks traveling extremely fast"""
"333	""333	A small white sphere which stopped&#44 hovered for 5 minutes&#44 then took off and disapeared."""
"334	""334	Daylight sighting of High Altitude Light"""
"335	""335	Meteor lights up the skies over Dallas&#44 crashes somehere to the south."""
"336	""336	Lost two days awaken to power out tv fried and blood from ear.Disoriented"""
"337	""337	THE TWO WHITE ROUND OBJECTS FLEW SYNCHONIZED SIDE BY SIDE AND EVENTUALLY VEERED OFF MADE HALF A CIRCLE AND MERGED&#44 AND RE-ENTERED SPACE"""
"338	""338	object  discharged another&#44 flew at first low then went higher hovered around empire state building"""
"339	""339	Round very light blue object goes behind a small mountain"""
"340	""340	i saw a large fireball falling to earth in the early morning hours on  Oct.11&#442003 in Kentucky"""
"341	""341	Two fuzzy disks chaseing each other."""
"342	""342	rather large cigar shaped object photographed from airplane window"""
"343	""343	Unverified pair of bold star lights diminishing in perfect unison."""
"344	""344	Large flash outside the house rattling the windows with a low hum."""
"345	""345	Saucer shaped craft with kaleidoscope lights."""
"346	""346	UFO with black exhaust sighted in Independence&#44 MO Oct. 11&#44 2003"""
"347	""347	3 trangular UFOs were spotted in a triangle formation for 3 seconds."""
"348	""348	Large&#44 rectangular&#44 pale green-blue object spotted at approx. 2:37 am&#44 10/11/04&#44 moving east over the San Fernando Valley."""
"349	""349	Very intense light&#44 shone through covered windows&#44 absolutely no sound&#44 felt presence before observing."""
"350	""350	star-like light that bobbled side to side and up and down  ((NUFORC Note:  We suspect Venus.  PD))"""
"351	""351	Light traveling at very high rate of speed across the morning sky."""
"352	""352	While I was driving I stopped at a traffic light and when I turned to wait for the green light&#44 I saw 11 bright lights in the sky"""
"353	""353	Large formation of UFO&#39s seen over south Salinas&#44 CA on Oct. 11&#44 2004&#44 in broad daylight."""
"354	""354	observed Angel Hair type UFO"""
"355	""355	Rectangle over Fresno&#44 California."""
